时间,事件类型,边界框,置信度,目标类别
2025-04-05 15:01:41.669,检测,"[155.89947509765625, 112.55477905273438, 572.5071411132812, 479.3440856933594]",0.885,person
2025-04-05 15:01:41.687,检测,"[155.89947509765625, 112.55477905273438, 572.5071411132812, 479.3440856933594]",0.885,person
2025-04-05 15:01:41.746,检测,"[158.2584991455078, 112.94943237304688, 574.7020874023438, 479.3185119628906]",0.875,person
2025-04-05 15:01:41.766,检测,"[158.2584991455078, 112.94943237304688, 574.7020874023438, 479.3185119628906]",0.875,person
2025-04-05 15:01:41.816,检测,"[158.21014404296875, 113.51930236816406, 572.476318359375, 479.31298828125]",0.871,person
2025-04-05 15:01:41.836,检测,"[158.21014404296875, 113.51930236816406, 572.476318359375, 479.31298828125]",0.871,person
2025-04-05 15:01:41.878,检测,"[157.77813720703125, 111.54905700683594, 572.0983276367188, 479.3411865234375]",0.877,person
2025-04-05 15:01:41.897,检测,"[157.77813720703125, 111.54905700683594, 572.0983276367188, 479.3411865234375]",0.877,person
2025-04-05 15:01:41.939,检测,"[156.76947021484375, 112.99534606933594, 572.7591552734375, 479.32958984375]",0.887,person
2025-04-05 15:01:41.956,检测,"[156.76947021484375, 112.99534606933594, 572.7591552734375, 479.32958984375]",0.887,person
2025-04-05 15:01:42.007,检测,"[157.59217834472656, 112.35203552246094, 572.252685546875, 479.332763671875]",0.881,person
2025-04-05 15:01:42.025,检测,"[157.59217834472656, 112.35203552246094, 572.252685546875, 479.332763671875]",0.881,person
2025-04-05 15:01:42.071,检测,"[159.0293426513672, 112.74951171875, 575.0426635742188, 479.3040771484375]",0.876,person
2025-04-05 15:01:42.089,检测,"[159.0293426513672, 112.74951171875, 575.0426635742188, 479.3040771484375]",0.876,person
2025-04-05 15:01:42.576,检测,"[157.1854705810547, 113.57716369628906, 571.6826782226562, 479.3406982421875]",0.875,person
2025-04-05 15:01:47.776,检测,"[613.555419921875, 340.82733154296875, 795.900390625, 478.463623046875]",0.863,car
2025-04-05 15:01:47.777,检测,"[311.31268310546875, 331.3453674316406, 527.4480590820312, 482.7414855957031]",0.834,car
2025-04-05 15:01:47.778,检测,"[571.4818115234375, 320.97772216796875, 653.3416748046875, 401.87005615234375]",0.595,car
2025-04-05 15:01:47.824,检测,"[619.0042724609375, 342.4173583984375, 797.397216796875, 475.958740234375]",0.868,car
2025-04-05 15:01:47.825,检测,"[312.04901123046875, 333.83587646484375, 530.9627075195312, 483.33990478515625]",0.843,car
2025-04-05 15:01:47.826,检测,"[574.5518798828125, 323.1827087402344, 656.4786376953125, 404.6169128417969]",0.596,car
2025-04-05 15:01:47.859,检测,"[316.18560791015625, 335.92572021484375, 533.0457153320312, 485.25592041015625]",0.841,car
2025-04-05 15:01:47.860,检测,"[619.3280639648438, 344.929931640625, 799.1104125976562, 476.0552978515625]",0.831,car
2025-04-05 15:01:47.861,检测,"[578.6871948242188, 323.7396240234375, 659.1868286132812, 404.94598388671875]",0.557,car
2025-04-05 15:01:47.896,检测,"[321.41204833984375, 337.0399169921875, 537.20556640625, 485.9730224609375]",0.857,car
2025-04-05 15:01:47.897,检测,"[625.0794677734375, 346.5295104980469, 801.290771484375, 475.7449035644531]",0.853,car
2025-04-05 15:01:47.898,检测,"[579.0352783203125, 326.18115234375, 659.6312255859375, 404.456298828125]",0.551,car
2025-04-05 15:01:47.933,检测,"[625.281982421875, 347.51495361328125, 802.308837890625, 484.081298828125]",0.856,car
2025-04-05 15:01:47.934,检测,"[322.96173095703125, 338.63897705078125, 537.8823852539062, 487.15728759765625]",0.848,car
