时间,事件类型,边界框,置信度,目标类别
2025-04-06 15:24:11.703,检测,"[204.16064453125, 53.83575439453125, 624.31982421875, 479.30682373046875]",0.844,person
2025-04-06 15:24:11.722,检测,"[200.47125244140625, 59.48353576660156, 598.3093872070312, 478.62939453125]",0.866,person
2025-04-06 15:24:11.754,检测,"[200.03118896484375, 60.3857421875, 597.1198120117188, 478.63372802734375]",0.863,person
2025-04-06 15:24:11.772,检测,"[200.03118896484375, 60.3857421875, 597.1198120117188, 478.63372802734375]",0.863,person
2025-04-06 15:24:11.818,检测,"[198.440673828125, 60.99298095703125, 594.16748046875, 478.33807373046875]",0.859,person
2025-04-06 15:24:11.836,检测,"[198.440673828125, 60.99298095703125, 594.16748046875, 478.33807373046875]",0.859,person
2025-04-06 15:24:11.883,检测,"[198.66357421875, 61.09739685058594, 592.1973266601562, 478.94921875]",0.853,person
2025-04-06 15:24:11.903,检测,"[198.66357421875, 61.09739685058594, 592.1973266601562, 478.94921875]",0.853,person
2025-04-06 15:24:11.949,检测,"[200.15211486816406, 59.81744384765625, 589.423828125, 479.27471923828125]",0.876,person
2025-04-06 15:24:11.968,检测,"[200.15211486816406, 59.81744384765625, 589.423828125, 479.27471923828125]",0.876,person
2025-04-06 15:24:12.027,检测,"[199.6246795654297, 60.92950439453125, 587.1907348632812, 478.9185791015625]",0.883,person
2025-04-06 15:24:12.045,检测,"[199.6246795654297, 60.92950439453125, 587.1907348632812, 478.9185791015625]",0.883,person
2025-04-06 15:24:12.090,检测,"[198.85870361328125, 60.3031005859375, 584.6719970703125, 478.81170654296875]",0.875,person
2025-04-06 15:24:12.107,检测,"[198.85870361328125, 60.3031005859375, 584.6719970703125, 478.81170654296875]",0.875,person
2025-04-06 15:24:12.154,检测,"[200.63035583496094, 60.050445556640625, 582.5689697265625, 478.7459411621094]",0.877,person
2025-04-06 15:24:12.172,检测,"[200.63035583496094, 60.050445556640625, 582.5689697265625, 478.7459411621094]",0.877,person
2025-04-06 15:24:12.220,检测,"[198.16259765625, 60.113861083984375, 579.4830322265625, 478.8201599121094]",0.864,person
2025-04-06 15:24:12.241,检测,"[198.16259765625, 60.113861083984375, 579.4830322265625, 478.8201599121094]",0.864,person
2025-04-06 15:24:12.283,检测,"[199.87709045410156, 59.973785400390625, 578.838623046875, 479.0379333496094]",0.855,person
2025-04-06 15:24:12.301,检测,"[199.87709045410156, 59.973785400390625, 578.838623046875, 479.0379333496094]",0.855,person
2025-04-06 15:24:12.347,检测,"[201.47076416015625, 59.67973327636719, 574.7243041992188, 479.53839111328125]",0.86,person
2025-04-06 15:24:12.366,检测,"[201.47076416015625, 59.67973327636719, 574.7243041992188, 479.53839111328125]",0.86,person
2025-04-06 15:24:12.427,检测,"[200.96075439453125, 59.87260437011719, 572.8670043945312, 478.67169189453125]",0.855,person
2025-04-06 15:24:12.444,检测,"[200.96075439453125, 59.87260437011719, 572.8670043945312, 478.67169189453125]",0.855,person
2025-04-06 15:24:12.491,检测,"[202.3447265625, 59.874267578125, 570.7171020507812, 478.91583251953125]",0.867,person
2025-04-06 15:24:12.509,检测,"[202.3447265625, 59.874267578125, 570.7171020507812, 478.91583251953125]",0.867,person
2025-04-06 15:24:12.554,检测,"[201.5040283203125, 59.78309631347656, 570.885009765625, 478.88134765625]",0.851,person
2025-04-06 15:24:12.572,检测,"[201.5040283203125, 59.78309631347656, 570.885009765625, 478.88134765625]",0.851,person
2025-04-06 15:24:12.620,检测,"[200.988037109375, 62.18194580078125, 567.6362915039062, 479.21783447265625]",0.856,person
2025-04-06 15:24:12.640,检测,"[200.988037109375, 62.18194580078125, 567.6362915039062, 479.21783447265625]",0.856,person
2025-04-06 15:24:12.684,检测,"[201.129638671875, 62.31854248046875, 571.0740966796875, 478.729248046875]",0.846,person
2025-04-06 15:24:12.703,检测,"[201.129638671875, 62.31854248046875, 571.0740966796875, 478.729248046875]",0.846,person
2025-04-06 15:24:12.747,检测,"[202.299072265625, 63.28297424316406, 571.6881103515625, 479.11865234375]",0.854,person
2025-04-06 15:24:12.767,检测,"[202.299072265625, 63.28297424316406, 571.6881103515625, 479.11865234375]",0.854,person
