时间,事件类型,边界框,置信度,目标类别
2025-03-30 09:06:06.689,检测,"[144.15594482421875, 83.194580078125, 636.268310546875, 479.17047119140625]",0.848,person
2025-03-30 09:06:06.709,检测,"[147.40277099609375, 89.61917114257812, 639.2049560546875, 479.4868469238281]",0.864,person
2025-03-30 09:06:06.729,检测,"[147.40277099609375, 89.61917114257812, 639.2049560546875, 479.4868469238281]",0.864,person
2025-03-30 09:06:06.763,检测,"[148.0322265625, 89.619140625, 639.2235107421875, 479.39569091796875]",0.874,person
2025-03-30 09:06:06.781,检测,"[148.0322265625, 89.619140625, 639.2235107421875, 479.39569091796875]",0.874,person
2025-03-30 09:06:06.826,检测,"[145.72283935546875, 89.6689453125, 638.8302001953125, 479.4429931640625]",0.874,person
2025-03-30 09:06:06.844,检测,"[145.72283935546875, 89.6689453125, 638.8302001953125, 479.4429931640625]",0.874,person
2025-03-30 09:06:06.912,检测,"[147.12060546875, 88.11097717285156, 639.0767822265625, 479.4661865234375]",0.87,person
2025-03-30 09:06:06.934,检测,"[147.12060546875, 88.11097717285156, 639.0767822265625, 479.4661865234375]",0.87,person
2025-03-30 09:06:06.973,检测,"[146.72698974609375, 88.66241455078125, 638.9727783203125, 479.466796875]",0.866,person
2025-03-30 09:06:06.992,检测,"[146.72698974609375, 88.66241455078125, 638.9727783203125, 479.466796875]",0.866,person
2025-03-30 09:06:07.035,检测,"[146.62261962890625, 88.80010986328125, 639.090576171875, 479.48333740234375]",0.875,person
2025-03-30 09:06:07.054,检测,"[146.62261962890625, 88.80010986328125, 639.090576171875, 479.48333740234375]",0.875,person
2025-03-30 09:06:07.101,检测,"[147.00294494628906, 88.396240234375, 639.394775390625, 479.4853515625]",0.861,person
2025-03-30 09:06:07.120,检测,"[147.00294494628906, 88.396240234375, 639.394775390625, 479.4853515625]",0.861,person
2025-03-30 09:06:07.166,检测,"[146.50396728515625, 89.5299072265625, 638.999267578125, 479.48223876953125]",0.874,person
2025-03-30 09:06:07.195,检测,"[146.50396728515625, 89.5299072265625, 638.999267578125, 479.48223876953125]",0.874,person
2025-03-30 09:06:07.239,检测,"[147.87646484375, 88.4788818359375, 639.1048583984375, 479.45440673828125]",0.875,person
2025-03-30 09:06:07.268,检测,"[147.87646484375, 88.4788818359375, 639.1048583984375, 479.45440673828125]",0.875,person
2025-03-30 09:06:07.322,检测,"[147.15966796875, 89.78929138183594, 638.9903564453125, 479.4234619140625]",0.879,person
2025-03-30 09:06:07.349,检测,"[147.15966796875, 89.78929138183594, 638.9903564453125, 479.4234619140625]",0.879,person
2025-03-30 09:06:07.388,检测,"[147.1646728515625, 88.38616943359375, 638.9315185546875, 479.5330810546875]",0.867,person
2025-03-30 09:06:07.419,检测,"[147.1646728515625, 88.38616943359375, 638.9315185546875, 479.5330810546875]",0.867,person
2025-03-30 09:06:07.449,检测,"[149.0248565673828, 89.09696960449219, 639.0036010742188, 479.47991943359375]",0.87,person
2025-03-30 09:06:07.477,检测,"[149.0248565673828, 89.09696960449219, 639.0036010742188, 479.47991943359375]",0.87,person
2025-03-30 09:06:07.507,检测,"[148.884033203125, 87.4361572265625, 639.0006713867188, 479.44573974609375]",0.872,person
2025-03-30 09:06:07.532,检测,"[148.884033203125, 87.4361572265625, 639.0006713867188, 479.44573974609375]",0.872,person
2025-03-30 09:06:07.575,检测,"[148.24456787109375, 89.07319641113281, 639.1319580078125, 479.55767822265625]",0.866,person
2025-03-30 09:06:07.607,检测,"[148.24456787109375, 89.07319641113281, 639.1319580078125, 479.55767822265625]",0.866,person
2025-03-30 09:06:07.639,检测,"[147.1453857421875, 89.54364013671875, 639.0728759765625, 479.5338134765625]",0.863,person
2025-03-30 09:06:07.666,检测,"[147.1453857421875, 89.54364013671875, 639.0728759765625, 479.5338134765625]",0.863,person
2025-03-30 09:06:07.715,检测,"[147.09877014160156, 89.26718139648438, 639.121826171875, 479.5024719238281]",0.877,person
2025-03-30 09:06:07.741,检测,"[147.09877014160156, 89.26718139648438, 639.121826171875, 479.5024719238281]",0.877,person
2025-03-30 09:06:07.779,检测,"[147.94305419921875, 91.06437683105469, 639.0562133789062, 479.52093505859375]",0.881,person
2025-03-30 09:06:07.802,检测,"[147.94305419921875, 91.06437683105469, 639.0562133789062, 479.52093505859375]",0.881,person
2025-03-30 09:06:07.839,检测,"[146.11866760253906, 89.07684326171875, 638.9830322265625, 479.57196044921875]",0.857,person
2025-03-30 09:06:07.865,检测,"[146.11866760253906, 89.07684326171875, 638.9830322265625, 479.57196044921875]",0.857,person
2025-03-30 09:06:07.902,检测,"[148.91162109375, 90.47859191894531, 639.044921875, 479.50750732421875]",0.872,person
2025-03-30 09:06:07.925,检测,"[148.91162109375, 90.47859191894531, 639.044921875, 479.50750732421875]",0.872,person
2025-03-30 09:06:07.969,检测,"[146.71897888183594, 87.47097778320312, 639.0087890625, 479.4764099121094]",0.864,person
2025-03-30 09:06:07.994,检测,"[146.71897888183594, 87.47097778320312, 639.0087890625, 479.4764099121094]",0.864,person
