时间,事件类型,边界框,置信度,目标类别
2025-04-07 15:22:07.227,检测,"[613.555419921875, 340.82733154296875, 795.900390625, 478.463623046875]",0.863,car
2025-04-07 15:22:07.228,检测,"[311.31268310546875, 331.3453674316406, 527.4480590820312, 482.7414855957031]",0.834,car
2025-04-07 15:22:07.228,检测,"[571.4818115234375, 320.97772216796875, 653.3416748046875, 401.87005615234375]",0.595,car
2025-04-07 15:22:07.247,检测,"[619.0042724609375, 342.4173583984375, 797.397216796875, 475.958740234375]",0.868,car
2025-04-07 15:22:07.247,检测,"[312.04901123046875, 333.83587646484375, 530.9627075195312, 483.33990478515625]",0.843,car
2025-04-07 15:22:07.247,检测,"[574.5518798828125, 323.1827087402344, 656.4786376953125, 404.6169128417969]",0.596,car
2025-04-07 15:22:07.266,检测,"[316.18560791015625, 335.92572021484375, 533.0457153320312, 485.25592041015625]",0.841,car
2025-04-07 15:22:07.266,检测,"[619.3280639648438, 344.929931640625, 799.1104125976562, 476.0552978515625]",0.831,car
2025-04-07 15:22:07.267,检测,"[578.6871948242188, 323.7396240234375, 659.1868286132812, 404.94598388671875]",0.557,car
2025-04-07 15:22:07.294,检测,"[321.41204833984375, 337.0399169921875, 537.20556640625, 485.9730224609375]",0.857,car
2025-04-07 15:22:07.294,检测,"[625.0794677734375, 346.5295104980469, 801.290771484375, 475.7449035644531]",0.853,car
2025-04-07 15:22:07.294,检测,"[579.0352783203125, 326.18115234375, 659.6312255859375, 404.456298828125]",0.551,car
2025-04-07 15:22:07.320,检测,"[625.281982421875, 347.51495361328125, 802.308837890625, 484.081298828125]",0.856,car
2025-04-07 15:22:07.320,检测,"[322.96173095703125, 338.63897705078125, 537.8823852539062, 487.15728759765625]",0.848,car
2025-04-07 15:22:07.320,检测,"[580.1824340820312, 327.457275390625, 660.8364868164062, 404.2572021484375]",0.6,car
2025-04-07 15:22:07.350,检测,"[625.948974609375, 348.0433349609375, 804.40185546875, 485.318115234375]",0.849,car
2025-04-07 15:22:07.350,检测,"[320.773193359375, 339.6673583984375, 539.5189819335938, 487.769287109375]",0.819,car
2025-04-07 15:22:07.351,检测,"[582.328369140625, 327.2430419921875, 662.398681640625, 405.701904296875]",0.629,car
2025-04-07 15:22:07.377,检测,"[626.5418701171875, 349.44451904296875, 805.7686767578125, 482.50604248046875]",0.837,car
2025-04-07 15:22:07.378,检测,"[324.22265625, 341.44036865234375, 541.5371704101562, 487.69793701171875]",0.828,car
2025-04-07 15:22:07.378,检测,"[584.812744140625, 329.4306640625, 664.01171875, 407.02996826171875]",0.73,car
2025-04-07 15:22:07.407,检测,"[327.3319091796875, 343.17706298828125, 542.97021484375, 489.657470703125]",0.851,car
2025-04-07 15:22:07.408,检测,"[628.2008056640625, 351.2406005859375, 808.1070556640625, 485.916015625]",0.843,car
2025-04-07 15:22:07.408,检测,"[585.5863647460938, 331.6810607910156, 665.8154907226562, 411.7256774902344]",0.703,car
2025-04-07 15:22:07.426,检测,"[627.3187255859375, 351.6741943359375, 807.7188720703125, 492.282470703125]",0.841,car
2025-04-07 15:22:07.427,检测,"[332.1962890625, 344.47821044921875, 543.1497802734375, 490.69677734375]",0.839,car
2025-04-07 15:22:07.428,检测,"[585.6429443359375, 334.2463684082031, 665.5902099609375, 413.8100891113281]",0.684,car
